                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4663,                 73.202,                 1.3843,                  4e-05,                0.01639,                  2e-05,                      0,                 3.2581,                 23.636,                 1.1008,                 0.0003,                 0.0003,                 0.0003
                      1,                 3.7385,                 40.128,                 1.2484,                  4e-05,                0.01639,                  2e-05,                      0,                 3.4089,                 21.258,                 1.1524,             0.00061825,             0.00061825,             0.00061825
                      2,                 3.7758,                 21.907,                 1.2637,                  4e-05,                0.01639,                  2e-05,                      0,                 3.1626,                 24.198,                 1.0461,             0.00093468,             0.00093468,             0.00093468
                      3,                 3.6606,                 19.921,                 1.1709,                0.00016,                0.06557,                  9e-05,                  3e-05,                 3.0306,                 16.568,                 1.0595,              0.0012493,              0.0012493,              0.0012493
                      4,                 3.4562,                 16.504,                 1.1191,                  4e-05,                0.01639,                  2e-05,                  1e-05,                 3.4053,                 40.002,                 1.1755,              0.0015621,              0.0015621,              0.0015621
                      5,                 3.2225,                 12.304,                 1.0867,                  8e-05,                0.03279,                  4e-05,                  2e-05,                 3.7011,                 17.661,                 1.3695,              0.0018731,              0.0018731,              0.0018731
                      6,                  3.407,                 10.399,                  1.131,                0.00037,                0.14754,                0.00393,                0.00075,                  3.617,                 10.595,                 1.2267,              0.0019661,              0.0019661,              0.0019661
                      7,                  3.388,                 12.128,                 1.0763,                0.00065,                0.21311,                0.00658,                0.00101,                 3.0737,                 7.5488,                 1.0497,              0.0019661,              0.0019661,              0.0019661
                      8,                 3.1084,                 8.2981,                 1.0898,                0.00024,                0.01639,                0.01504,                 0.0034,                 3.6644,                 7.8841,                 1.2475,              0.0019604,              0.0019604,              0.0019604
                      9,                 3.3066,                 10.898,                 1.0869,                0.01897,                0.03279,                0.00681,                0.00181,                 3.0661,                 12.914,                 1.0632,              0.0019547,              0.0019547,              0.0019547
                     10,                 3.1038,                 7.0316,                 1.0657,                0.23523,                0.09836,                0.05241,                0.01247,                 3.0188,                 6.2763,                 1.0234,              0.0019491,              0.0019491,              0.0019491
                     11,                 3.2808,                 6.7319,                 1.0543,                0.00083,                0.32787,                0.01896,                0.00486,                 3.0726,                 6.5654,                  1.117,              0.0019434,              0.0019434,              0.0019434
                     12,                 3.1086,                 6.3215,                 1.0429,                0.31177,                0.06557,                0.05534,                0.01743,                 2.8972,                   6.62,                 1.0614,              0.0019378,              0.0019378,              0.0019378
                     13,                 3.2609,                 6.7317,                 1.1088,                0.46254,                0.08197,                0.10183,                0.01697,                 3.0082,                 5.8381,                 1.0555,              0.0019321,              0.0019321,              0.0019321
                     14,                 2.9244,                 5.0296,                 1.0508,                0.23257,                0.03279,                0.03384,                0.00937,                 2.8305,                 4.8638,                0.99445,              0.0019265,              0.0019265,              0.0019265
                     15,                  2.812,                 4.9288,                 1.0434,                0.12352,                0.08197,                0.05419,                0.01655,                 3.0235,                 4.0398,                 1.0128,              0.0019208,              0.0019208,              0.0019208
